question,A,B,C,D,answer,subject,question_id
"Of the statements listed below, which is the least accurate representation of voters in federal, state, and local elections?",Voter turnout is lower in midterm elections than it is in presidential elections.,Voters lacking party affiliation tend to vote less regularly than those with strong party affiliation.,Young adults are less likely to vote than senior citizens.,Individuals are more likely to vote when they believe they know which candidate will win an election.,D,high_school_government_and_politics_test,70
What sets apart a pardon from a reprieve?,"a pardon lasts 10 years, while a reprieve lasts one year","a reprieve grants a release from legal punishment, while a pardon postpones it",a pardon grants a release from legal punishment while a reprieve postpones it,only state governors can issue pardons,C,high_school_government_and_politics_test,71
"In which case did the Supreme Court rule that the ""separate but equal"" doctrine has no place in the field of education, stating that separate educational facilities are inherently unequal?",Gideon v. Wainwright,Marbury v. Madison,Engel v. Vitale,Brown v. Board of Education of Topeka,D,high_school_government_and_politics_test,72
In which direction does 'knowledge' typically move within a cell?,From protein to DNA,From DNA to DNA,From DNA to RNA to protein,Random,C,virology_test,73
What information should a reliable surveillance system offer?,Who is being infected,Where the infected individuals are,How rapidly infection is spreading,All of the above,D,virology_test,74
Which study designs are typically utilized by the majority of surveillance systems?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,virology_test,75
Which factor is most responsible for the establishment of early settlements and high population density along coastlines and rivers?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,high_school_geography_test,76
What issue is Europe currently not grappling with?,Rising immigration,Lack of population growth,Environmental apathy,Urban ethnic ghettos on the rise,C,high_school_geography_test,77
"What is meant by ""hearth"" when discussing the diffusion of a cultural trait?",Destination,Origin point,All locations along the diffusion path,Axis point,B,high_school_geography_test,78
Which of the following U.S. primary immigration flow associations is incorrect?,"Pioneer settlement to 1870—Germans, British, Scotch-Irish, Africans",1870–1914—Asians,1870–1914—Eastern and southern Europeans,1965–present—Hispanics,B,high_school_geography_test,79
What elements could potentially be included in the expansion and enhancement of security measures?,The nexus between identity and security.,"War, the military, and the sovereign state.",Environmental changes.,All of these options.,D,security_studies_test,80
"According to the field of Security Studies, which description best explains the concept of security in the modern world?","'A nation is secure to the extent to which it is not in danger of having to sacrifice core values if it wishes to avoid war, and is able, if challenged, to maintain them by victory in such a war.' Lippman, W.","'Security itself is a relative freedom from war, coupled with a relatively high expectation that defeat will not be a consequence of any war that should occur.' Bellamy, M.","'Emancipation is the freeing of people (as individuals and groups) from the physical and human constraints which stop them carrying out what they would freely choose to do . . . Security and emancipation are two sides of the same coin. Emancipation, not power or order, produces true security. Emancipation, theoretically, is security.' Booth, K.",None of the above,D,security_studies_test,82
Why is energy security such a crucial topic in modern security studies?,"There exists an array of contemporary challenges to energy security, ranging from resource scarcity concerns to dangers of political instability.",The existence of reliable supplies of energy determines the ability of a nation to achieve economic development.,"Energy security encompasses a broad range of issues that are both contemporary and fundamental to security, ranging from the local and individual to the global scale.",All of these options.,D,security_studies_test,83
"Should the friend be found guilty of any crimes if she is prosecuted for her actions?

A wealthy woman who frequently wore expensive jewelry while walking her dog in the park was warned by her friends to be cautious, as they feared she could be targeted by muggers. In an effort to dissuade the woman from wearing her valuable jewelry in the park, her friend decided to play a prank. Disguised as a man, the friend hid in a spot she knew the woman would pass through in the park. As the woman walked through the park with her dog one morning, the friend emerged from behind a bush, pretending to hold a toy gun, and snatched the woman's diamond necklace. The woman's shocked reaction led her friend to reveal her true identity, return the necklace, and explain that she only meant to scare her as a lesson. If the friend faces prosecution, what, if any, crimes should she be found guilty of?",Battery.,Assault.,Robbery.,No crime.,A,professional_law_test,104
 What is required for an offer to be considered irrevocable under the Uniform Commercial Code?,Be made by a merchant to a merchant.,Be contained in a signed writing which gives assurance that the offer will be held open.,State the period of time for which it is irrevocable.,Not be contained in a form supplied by the offeror.,B,professional_law_test,108
Which of the following best describes who has the responsibility of proving that the state statute prohibiting anyone over 60 from running for public office is constitutional?,"Since a fundamental right is involved, the state must show the regulation is necessary to vindicate a compelling government interest.","Since no fundamental right is involved, the petitioner must show the age restriction is not rationally related to a legitimate government interest.",The state must show the age regulation substantially furthers an important government objective and does not impair the fundamental right to vote.,The petitioner must show the statute violates due process by depriving her of the right to be a candidate.,B,professional_law_test,109
Which types of regulations would be excluded from review under the strict scrutiny standard?,Gender,Interstate travel,Privacy,Alienage,A,professional_law_test,112
What different forms of scanning exist?,"Port, network, and services","Network, vulnerability, and port","Passive, active, and interactive","Server, client, and network",B,computer_security_test,120
How do direct leaks differ from side channels?,"A direct leak creates a denial of service by failing to free memory, while a channel frees memory as a side effect","A direct leak is one that is intentional, rather than by unintentional","A direct leak comes via the software system's intended interaction mechanism, where as a side channel leak comes from measurements of other system features, like timing, power usage, or space usage",There is no difference,C,computer_security_test,121
What is the most accurate way to confirm a diagnosis of Alzheimer's disease?,ruling out other etiologies through a comprehensive psychodiagnostics workup,computerized tomography (CT) or magnetic resonance imaging scan showing cerebral atrophy,brain biopsy,neuropsychological testing showing the expected profile of deficits and spared functions,C,professional_psychology_test,122
What has research on second-language acquisition revealed about children who learn a second language?,Their cognitive development is delayed,They have better articulation than children who are not bilingual,Their native language proficiency has no effect on the rate of acquiring the second language,They have increased cognitive flexibility,D,professional_psychology_test,123
What are abilities that are primarily nonverbal and not influenced by culture called?,Fluid intelligence,Broad stratum abilities,Achievement or aptitude,Crystallized intelligence,A,professional_psychology_test,124
What is the most appropriate course of action for a psychologist who does not feel confident in their ability to take on a case?,Try his or her best,Refer out,Read a chapter on the issue,Charge the client less,B,professional_psychology_test,125
"Konrad Lorenz's (1957) research on ""imprinting"" sparked interest in finding __________ in human infants.",a critical period for attachment,a biological explanation for language acquisition.,a sensitive period for social referencing,a biological mechanism for recognition memory.,A,professional_psychology_test,126
What reduces the magnitude of the denominator term in the F-ratio?,decreasing within-group variability.,increasing within-group variability.,increasing between-group variability and decreasing within-group variability.,decreasing between-group variability and increasing within-group variability,A,professional_psychology_test,127
What is the source of cerebral spinal fluid secretion?,Third ventricle,Basal ganglia,Choroid plexus,Pia mater,C,professional_psychology_test,128
Which type of therapy frequently recommends and utilizes self-disclosure by the therapist?,Object relations therapy,Transactional analysis,Feminist psychotherapy,Interpersonal therapy,C,professional_psychology_test,129
What ethical responsibilities does Dr. Harold Hanson have as the head of the personnel committee at a mental health facility when recommending against promoting a psychologist with an unresolved charge of sexual harassment?,has acted ethically since sexual harassment is explicitly prohibited by the ethical guidelines.,has acted ethically as long as he is willing to consider the psychologist for promotion if he is acquitted of the harassment charge.,has acted ethically as long as his decision is consistent with the stated promotion policy of the mental health facility.,has acted unethically by violating the requirements of the ethical guidelines regarding employment procedures.,D,professional_psychology_test,130
What is the best way to describe the primary function of the psychology licensing board?,developing laws that govern the practice of psychology.,providing sanctions for unethical and illegal behavior on the part of psychologists.,protecting the public welfare.,accrediting graduate programs in psychology.,C,professional_psychology_test,132
"Which of the following conditions can be identified by symptoms such as agraphia, acalculia, finger agnosia, and right-left confusion?",Creutzfeldt-Jakob disease,Addison’s disease,Gerstmann’s syndrome,Geschwind syndrome,C,professional_psychology_test,133
"Which of the following methods would NOT balance the see-saw with a girl of mass m and a boy of mass 2m on opposite sides, both equidistant from the fulcrum?",Move the boy to half his original distance from the fulcrum.,Move the girl to double her original distance from the fulcrum.,Allow a second girl of mass m to join the first.,Move the fulcrum to half its original distance from the boy.,D,high_school_physics_test,134
"What fundamental force of nature is responsible for the interaction between a table and a wooden block placed on its tabletop, and what is the reason for this?","The electric force, because the protons in the nuclei of the top atomic layer of the table repel the nuclei in the bottom atomic layer of the wood.","The gravitational force, because by F = GMm/r^2, the force of the table on the wood at that close range is sufficient to balance the force of the Earth on the wood.","The electric force, because the outer electrons in the top atomic layer of the table repel the outer electrons in the bottom atomic layer of the wood.","The strong nuclear force, because the protons in the nuclei of the top atomic layer of the table repel the nuclei in the bottom atomic layer of the wood.",C,high_school_physics_test,135
"What is the primary reason that, when hot water is added to a beaker of cold alcohol, the two liquids eventually reach the same temperature, when considering the difference in size between the molecules of the two fluids?",The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.,"The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.",The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.,"The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.",D,high_school_physics_test,136
"Do support vector machines, similar to logistic regression models, provide a probability distribution for potential labels based on input examples? Would the support vectors be expected to stay consistent as we transition from a linear to higher order polynomial kernels?","True, True","False, False","True, False","False, True",B,machine_learning_test,137
"1. Is the kernel density estimator the same as conducting kernel regression with the value Yi = 1/n at each point Xi in the original dataset?
2. Can the depth of a learned decision tree exceed the number of training examples used to build the tree?","True, True","False, False","True, False","False, True",B,machine_learning_test,138
"Which statement accurately reflects the situation in which Donny threw a knife at Sally with the intention of causing harm, but missed her, causing Sally to feel scared and subsequently sue Donny for assault and battery?","Donny will be liable for battery, but not assault.","Donny will be liable for assault, but not battery.",Donny will be liable for assault and for battery.,Donny will not be liable for either assault or battery because this is only a criminal matter.,B,jurisprudence_test,139
What factors played a significant role in the resurgence of natural law in the 20th century?,Depression of the 1930,The rise of Fascism,The international recognition of human rights after World War II,The Bolshevik Revolution,C,jurisprudence_test,140
Huemer contends that there is no compelling reason to believe that the harms of drug use are significant.,more harmful on average than legally permitted harmful activities.,differing from the harms of other legally permitted harmful activities.,more detrimental to a person's character than otherslegally permitted harmful activities.,All of the above.,D,moral_disputes_test,141
"According to West, women who participate in unwanted sexual activity due to dependence on their partner, whether real or perceived, may suffer damage to their autonomy because",they have neglected to take whatever steps would lead to their self-sustenance.,they are dominated by their partners insofar as they are not free to do as they please.,they are actually coerced into having sex.,none of the above.,A,moral_disputes_test,146
The consequentialist approach to punishment contradicts which other perspective?,retributive theories of punishment.,perfectionist theories of punishment.,legal theories of punishment.,preventive theories of punishment.,A,moral_disputes_test,147
What is the value of p in the equation 3 + p = 15?,3,5,12,18,C,elementary_mathematics_test,148
"In January, Michelle did 31 days of 45 push-ups each, using the expression 31 × 45. How many push-ups did Michelle do in January?",125 push-ups,279 push-ups,"1,395 push-ups","1,406 push-ups",C,elementary_mathematics_test,149
"What is the population of the city rounded to the nearest ten thousand if the population is 836,527?",800000,830000,836000,840000,D,elementary_mathematics_test,150
What expression is equal to the product of 5 and the quantity 6x plus 3y?,11x + 3y,11x + 8y,30x + 3y,30x + 15y,D,elementary_mathematics_test,151
"If the Sojourn family started with $2000 and spent $150 each day on their vacation, what is the expression that represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,elementary_mathematics_test,152
"How many people can sit in the baseball park if there are three sections, with varying capacities described as follows:
* The red section can seat 200 people
* The blue section can seat 20 fewer people than the red section
* The green section can seat 2 times as many people as the blue section.",260,380,640,740,D,elementary_mathematics_test,153
"Keri spent 3 hours on her homework, devoting equal time to all subjects. If she spent half an hour on science, how many subjects did she study?",4 subjects,2 subjects,6 subjects,5 subjects,C,elementary_mathematics_test,154
Express the fraction 7/33 as a decimal.,0.021 repeating,0.21 Repeating,0.22 Repeating,0.2121,B,elementary_mathematics_test,155
"What is the partial pressure of nitrogen in a sealed, rigid container with 28.0 g of nitrogen, 40.0 g of argon, and 36.0 g of water vapor, with a total pressure of 2.0 atm?",0.33 atm,0.40 atm,0.50 atm,2.0 atm,C,high_school_chemistry_test,156
"How can para-dichlorobenzene, commonly used as mothballs, be alternatively named?","1,2-dichlorobenzene","1,3-dichlorobenzene","2,4-dichlorobenzene","1,4-dichlorobenzene",D,high_school_chemistry_test,158
What are mobile regions of DNA that have the ability to insert themselves into a pre-existing genome called?,prions,cistrons,introns,transposons,D,college_biology_test,161
"What is the likelihood that a randomly selected jury of 12 from the pool this week will have at least three women, given that 30 percent of potential jurors are women?",0.168,0.843,0.915,The answer cannot be determined without knowing the size of the jury pool.,D,high_school_statistics_test,166
What statement accurately describes Graves Disease of the thyroid?,It is a cause of ophthalmoplegia,It causes a large multi-nodular goitre,It is commoner in males than females,"In the past, Grave's disease sometimes caused 'Derbyshire Neck'",A,clinical_knowledge_test,167
What is true about jaundice?,Pale stools and dark urine are characteristic of the jaundice of haemalytic anaemia,Bilirubin is used by the liver in the synthesis of red blood cells,Itching may be a sign of obstructive jaundice,Putting a danger of infection sticker on blood samples from an intravenous drug user with jaundice is optional,C,clinical_knowledge_test,168
What are the names of the small bones in the wrist known as carpal bones?,"Scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate.","Scaphoid, lunar, triquetrium, pisiform, radius, ulna, capitates.","Scaphoid, proximal phalynx, humerus, hamate, capitate.","Scaphoid, radius, ulna, cunniform, trapezius.",A,clinical_knowledge_test,169
What are codons composed of?,triplet sequences of nucleotide bases in mRNA or DNA .,quadruplet sequences of nucleotide bases in mRNA or DNA.,triplet sequences of amino acids in polypeptide chains.,triplet sequences of deoxyribose sugars in DNA.,A,clinical_knowledge_test,170
How often should wound drainage be evaluated in terms of amount and texture?,each time post-operative observations are undertaken.,daily.,every hour.,only when the wound dressing is changed.,A,clinical_knowledge_test,171
"According to Brandt, what determines rightness in his version of utilitarianism?",the consequences of particular acts.,the actual and recognized rules of society.,ideal rules.,whether or not one’s maxim can be universalized.,C,philosophy_test,172
What does Aristotle transition to at the end of the Ethics?,aesthetics.,theology.,politics.,natural science.,C,philosophy_test,173
In what way does Hare claim that ethics and science are alike?,both seek to provide us with true beliefs about the world.,both are essential components of a worthwhile life.,both involve testing general principles by examining their logical consequences.,all of the above.,C,philosophy_test,175
Singer argues that famine relief organizations allocate our aid towards refugees who are far away:,more effectively than we could get it to our close neighbors.,almost as effectively as we could get it to our close neighbors.,"quite inefficiently, but they are still worth donating to.","very inefficiently, and are therefore not worth donating to.",B,philosophy_test,176
What is Stevenson's opinion on empirical methods?,are never useful in resolving ethical disagreement.,"are sometimes useful in resolving ethical disagreement, but are not always sufficient.",are in principle always sufficient for resolving ethical disagreement.,provide the only responsible way to engage in moral philosophy.,B,philosophy_test,177
What are electrons in p-type material of a semiconductor commonly referred to as?,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,electrical_engineering_test,180
What is the behavior of a diode (p-n junction) when it is reverse biased?,On Switch,Zener diode,Capacitor,Off Switch,D,electrical_engineering_test,181
What methods are used for reactive or voltage compensation among the following options?,shunt capacitor,series capacitor,generation excitation control,all of the above,D,electrical_engineering_test,182
Why is Infrared (IR) spectroscopy helpful in identifying specific characteristics of organic molecule structures?,all molecular bonds absorb IR radiation,IR peak intensities are related to molecular mass,most organic functional groups absorb in a characteristic region of the IR spectrum,each element absorbs at a characteristic wavelength,C,college_chemistry_test,184
Regarding hair loss,Men lose but women do not,Men are more systematic than women,Women lose hair less frequently but more rapidly than men,Environmental factors are the main causes,B,human_aging_test,187
